id	original_sentence	aspect	label_id	label
59#92#0	chất liệu:không biết màu sắc:xanh đúng với mô tả:cũng đúng nous chung là cũng được, cung đẹp chỉ có chỗ vải là ko ung ý.	General	1	neutral
0#6#0	sp tot .dong goi dep.lan sau se ủng hộ shop .	General	0	positive
0#14#0	áo rất đẹp nha. đóng hộp cũng rất lịch sự. nói chung là ưng nha	General	0	positive
93#119#0	hàng giao khá nhanh, đúng với sản phẩm đã đặt, cần tgian dùng thử mới biết về chất lg ra sao nhưng nói chung là khá tốt	General	0	positive
0#19#0	đúng với mô tả:đúng chất liệu:k bt màu sắc:đen trắng áo đẹp, rẻ, vảy dày dặn nhưng 1 bên tay áo hơi bung chỉ và mặc lên nhìn kì vì tay áo bị rúm vào. vs giá này cũng k mong gì hơn	General	0	positive
83#112#0	Áo đẹp, vải cũng đẹp nữa. Chưa mặc thử nên không biết có thấm hút mồ hôi tốt không nhưng chung quy mình thấy đẹp	General	0	positive
0#45#0	Sản phẩm đẹp, chất lượng tốt, giống với mô tả, giao hàng nhanh, giá tiền phù hợp, nên mua nha mọi người! Ảnh chỉ mang tính chất nhận xu	General	0	positive
19#31#0	hàng chất vải đẹp, màu như hình, đã mua và sẽ quay lại ủng hộ shop, đáng mua nha mn ơi	General	0	positive
33#60#0	chất liệu:đẹp đúng với mô tả:xám nhận được hàng mình rất ưng áo rẻ mà chất lại rất ok với số tiền này. sẽ ủng hộ shop tiếp ạ	General	0	positive
0#71#0	đây là lần thứ 2 mua áo của shop rồi, vẫn chỉ 1 từ thôi là đẹp miễn chê, lại còn mua đúng dịp sale nữa nên mua được giá rẻ lại còn siêuu đẹp. nhất định mình sẽ mua lại nhiều lần nữa. thanks shop	General	0	positive
49#61#0	đúng với mô tả:đúng chất liệu:thun màu sắc:xanh. áo đẹp lắm ạ, đóng gói phải nói là 10 điểm luôn giá rẻ mà cả áo lẫn cách đóng gói rất là tốt. rcm nên mua nhé mn ơi	General	0	positive
0#42#0	Áo xinh cực luôn mng ạ nên mua nên mua nhé mình mặc rộng rãi thoải mái lúm ( mét 52)	General	0	positive
66#81#0	chất liệu:đẹp màu sắc:trắng đúng với mô tả:đúng hơi rộng 1 chút . nma vẫn đẹp nha . nên mua ạ	General	0	positive
115#137#0	hàng đẹp. nhanh. đóng gói có hộp mọi thứ ok trong tầm giá. chất vải trung trung nhưng đuờng kim mũi chỉ khá chuẩn. đánh giá tốt .đáng mua	General	0	positive
34#45#0	giao hàng nhanh đóng gói cẩn thận rất ưng nha nhận xét lấy xu thanks shop	General	0	positive
28#51#0	màu sắc:đen chất liệu:vải.. đúng với mô tả:đúng đẹp, rẻ,nên mua nha cả nhà	General	0	positive
67#79#0	1.70cm /63kg mặc vừa in, ck khen lên khen xuống chất mát mặc sướng nói chung ok. k tiện chụp nên k có ảnh sp ạ	General	0	positive
0#26#0	đúng với mô tả:đunga áo ok	General	0	positive
0#27#0	sản phẩm tốt chất lượng tốt giao hàng nhanh god hàng thật hàng tốt	General	0	positive
46#52#0	tiền nào của đó cũng gọi là hợp với giá tiền. tạm ổn	General	1	neutral
0#37#0	u là trời, ưng quá. áo y ảnh mẫu, đẹp, đóng gói quá chi là cẩn thận, mua làm quà tặng bố ưng lắm. sẽ quay lại mua tiếp nha	General	0	positive
0#11#0	áo siêu đẹp, chất vải thoáng mát, bạn mình rất ưng ý shop giao hàng nhanh, anh ship nhiệt tình, dễ thương sẽ mua lại nhiều lần nữa, chúc shop buôn may, bán đắt	General	0	positive
0#6#0	áo đẹp, chất vải mịn mềm form áo vừa vặn anh trai nào bụng to cao 165 nặng 56 thì nên mua lớn hơn 1 size, shop bán hàng uy tín ship hàng nhanh	General	0	positive
0#6#0	áo đẹp chất vải mát giá cũng ok . mà shop còn có thư cảm ơn các thứ hin	General	0	positive
91#115#0	đẹp lắm nha mn. size chuẩn. màu đẹp sang lắm nha. chất vải thì khỏi bàn k dày cũng k mỏng. nói chung là ưng lắm nha	General	0	positive
92#97#0	Chất liệu:cotton Màu sắc:hong Đúng với mô tả:yeah Chất vải hơi mỏng chút nhưng khá oce nha, duyệt	General	0	positive
57#71#0	giao hàng nhanh chóng, đóng gói khá kỹ, đầy đủ số lượng. Sản phẩm ổn áp, form siêu rộng, bf mình cao 1m72 nặng 69kg bận như bơi trong mẫu này :)))	General	0	positive
0#19#0	Áo xinh xỉu luôn á, mặc mát, vải cũng đẹp nữa, nói chung rẻ trong tầm tiền mà đc con áo này thì tiếc gì nữa ạ	General	0	positive
0#80#0	hàng đẹp lắm cả nhà mình lại săn sale được nên thấy rất ưng chúc shop đắt hàng ạ	General	0	positive
0#50#0	đã nhận áo, áo chất lượng ổn áp lắm nên mua nha mn, mùa hè nóng nực mặc áo mát	General	0	positive
16#35#0	màu sắc:xám đậm đúng với mô tả:đúng chất liệu:tốt sản phẩm tốt, giá rẻ, rất đáng tiền mua, mọi người nên mua để mặc	General	0	positive
106#129#0	hàng hiao khá chậm, thùng bên ngoài bị móp rất nhiều nhưng sản phẩm được đóng hộp đen nên không bị sao ạ. chất lượng sản phẩm tốt, đủ món hàng mặc dù thgian giao có chậm.	General	0	positive
64#125#0	hình ảnh và video nhận xu, mình mua cho bạn nên không có hình , mua của shop 1 lần áo đen rồi ok lắm nên mua thêm cái trắng ạ	General	0	positive
0#24#0	san phẩm rất đẹp rất ưng. nhưng k biết sử dụng mấy hôm có bị giãn hay biến dạng không nữa. nhưng cở bản 50 sao	General	0	positive
52#64#0	đóng gói hàng cho khách hàng cẩn thận không bị rách sản phẩm đẹp	General	0	positive
37#123#0	áo đẹp, chất vải tốt. có độ co giãn. giống như hình. mua 2 cái mặc thử. ai ngờ đẹp thật. sẽ ủng hộ shop những lần tiếp theo 	General	0	positive
49#55#0	Đúng với mô tả:đúng Màu sắc:đen Chất liệu:cotton Áo đẹp, vải dầy dặn, in sắc nét. Áo to lắm chuẩn kg và chiều cao. Chiều ngan hơi rộng.	General	0	positive
312#371#0	Chất liệu:đẹp Đúng với mô tả:đúng như mô tả Màu sắc:trắng Mn mua đồ của shop cẩn thận nha coi chừng mua hàng xong bị ghiền mua nữa đó Đồ của shop đẹp hơn so với mình tưởng tượng,kiểu vải cũng y như mình mong muốn còn giao hành nhanh nữa mới mua đc 1-2 ngày làđax giao hàng tới rồi,còn đóng gói hàng kĩ càng nữa. Nói chung là hàng đẹp nha, lần sau mình sẽ ủng hộ shop tiếp	General	0	positive
47#58#0	Màu sắc:be Đúng với mô tả:yes Chất liệu:cotton Áo xinh lắm, giao hàng nhanh, mìn chưa mặc nữa nhưng nhìn chung form củn oke lắm ó.	General	0	positive
0#6#0	Áo đẹp, vải dày dặn, đường may đều, chắc chắn, không chỉ thừa.	General	0	positive
0#32#0	đúng với mô tả:đr chất liệu:mỏng màu sắc:trắng	General	1	neutral
20#87#0	giao hàng cực nhanh sản phẩm thì quá chất lượng rồi đã mua 2lần sẽ tiếp tục ủng hộ shop cho shop 5 sao nha	General	0	positive
0#63#0	áo đẹp ghê ạ . hehe lúc đầu em tưởng xẻ 2 xườn ạ . nhưng áo đẹp anh shiper đáng yêu ghê ạ .	General	0	positive
0#62#0	áo rất đẹp đặt lần đầu 3 áo r ưng ý quá giờ đặt thêm 4 cái nữa,shop phục vụ rất nhiệt tình chu đáo cho shop 10 sao lun	General	0	positive
124#135#0	form áo chuẩn, shop giao đúng màu và size, đường may gọn gàng, chất lượng rất hài lòng, giao hàng nhanh 4 ngày ra miền bắc. 5* hài lòng.	General	0	positive
56#68#0	đúng với mô tả:đúng chất liệu:dep màu sắc:xanh bóng đêm sản phẩm tốt, màu này khá lạ mắt, buồn nhất là săn trên live chốt nhanh quá nên lấy xxl hơi rộng	General	0	positive
135#150#0	áo mặc thoải mái, chất dày dặn. shop đóng gói sản phẩm cẩn thận. ship hàng khá nhanh và đúng sản phẩm . chất lượng phù hợp với giá cả. các bạn nên mua	General	0	positive
0#10#0	áo đẹp vl, vải mềm mịn mặc mát. áo shop bán 99k mà chất lượng ok hơn nhiều so với áo mua shop ngoài 250k. ae nên mua	General	0	positive
0#26#0	rất đáng mua nhé mọi người, chất mát, đúng sz, mặc rất thoải mái	General	0	positive
0#46#0	đúng với mô tả:đúng chất liệu:mỏng màu sắc:nau	General	1	neutral
0#11#0	bình thường	General	1	neutral
29#55#0	Chất liệu:thun Màu sắc:trắng Đúng với mô tả:đúng ảo đẹp, vải khá oce, lói chung toẹt vời hehehe	General	0	positive
29#51#0	Màu sắc:màu be Chất liệu:đẹp Đẹp lắm nha moi ngườ,i vải rất mát mng nên mua thử nha	General	0	positive
67#94#0	Đúng với mô tả:đúng Màu sắc:kem Chất liệu:thun lạnh Mình quên chụp nhưng mà áo xinh lém nha mn vs lại chất vải mềm lạnh mặc vào ko bị nóng vs giá này thì quá ok	General	0	positive
0#33#0	chất lượng xứng đáng với mức tiền , vải dày , mua giá săn sale nên cũng hợp lý. đã ủng hộ shop 2 lần	General	0	positive
17#40#0	giao hàng nhanh, chất lượng sản phẩm tốt. chất liệu áo thoáng mát, sẽ ủng hộ thêm	General	0	positive
5#18#0	đẹp, nhìn ưng mắt, giao nhanh, đúng màu. sẽ ủng hộ shop nhiều nữa	General	0	positive
52#83#0	chất liệu:vải mịn nhiều lỗ thoáng khí màu sắc:trắng đúng với mô tả:đẹp sản phẩm tốt , đóng gói chất lượng sẽ ủng hộ shop hơn nữa trong lần tiếp theo , luôn luôn ủng hộ hàng việt nam	General	0	positive
0#79#0	sản phẩm oki nhé ạ lại còn được tặng thêm gel rửa tay đó mn ạ.tặng ny thích lắm chất mát mẻ oki	General	0	positive
0#34#0	làn mua hàng này thật sự thất vọng mình mua dù đơn trên 150k nhưng không được tặng móc khoá hay hộp, áo cũng không để mua kèm deal sốc như lần trước lần thứ 2 đặt hàng mới nhận đc hàng cũng chỉ vì thích cái thiết kế này nên mới chấp nhận chờ lâu thế mua cả 2 màu thì thấy đen đẹp hơn nhé mng	General	2	negative
53#74#0	đã nhận đk hàng. vải mỏng, mặc mát. giao hàng nhanh. khá ưng vs chất lượng	General	0	positive
0#26#0	sản phẩm ok chất lượng tốt shop đóng gói cản thận.. sẽ ủng hộ shop	General	0	positive
0#7#0	áo đẹp, chất vải tốt. có độ co giãn. giống như hình. mua 2 cái mặc thử. ai ngờ đẹp thật. sẽ ủng hộ shop những lần tiếp theo 	General	0	positive
16#57#0	giao hàng nhanh chất lượng tốt sẽ mua lại cảm ơn shop nhé!	General	0	positive
0#19#0	đúng với mô tả:đúng với mô tả màu sắc:đen hơi tiếc nhưng áo rộng lắm luôn ý không mặc vừa	General	0	positive
36#68#0	fom áo chật vai, khuy thì may lệch. mặc tạm thì đc chứ k ưng lắm đâu	General	2	negative
97#115#0	Màu sắc:thắng Chất liệu:vải j á Đúng với mô tả:đúng áo đẹp form ok nè cũng dày dặn lắm đáng tiền mn nên mua thử nha	General	0	positive
115#129#0	màu sắc:xanh aqua đúng với mô tả:đúng chất liệu:thun nhận hàng rất ưng ý từ hộp đựng ngoài tới hộp trong ,cẩn thận,tới áo cũng ok,vải mịn mát cực,màu đẹp,lần sau ủng hộ shop tiếp nha	General	0	positive
