id	original_sentence	aspect	label_id	label
47#72#0	Hình ảnh chỉ mang tính chất minh hoạ áo đẹp và mặc mát lắm nhé mọi người Quá là ưng luôn ạ ,vừa rẻ vừa chất lượng	Material	0	positive
17#24#0	giao hàng nhanh, vải đẹp, mặc khá là vừa vặn, rất đáng mua	Material	0	positive
0#30#0	chất liệu:vải k đc đẹp cho lắm nhãn hiệu kphai của adlv, nó là một nhãn khác. mình khá thất vọng về vc này mong shop giải quyết giúp em ạ!	Material	2	negative
35#56#0	99k quá ổn, không có gì để chê cả. chất liệu mặc lên mát, hoàn thiện tốt.	Material	0	positive
50#90#0	Chất liệu:cotton Màu sắc:hong Đúng với mô tả:yeah Chất vải hơi mỏng chút nhưng khá oce nha, duyệt	Material	0	positive
20#33#0	Đúng với mô tả:đúng Chất liệu:tốt Màu sắc:đen, be Sản phẩm siêu đẹp, chất liệu tốt, giao hàng nhanh	Material	0	positive
34#67#0	Màu sắc:trắng Đúng với mô tả:đúng Áo dày, đẹp, thơm, vải sờ mát mịn	Material	0	positive
54#132#0	mình nghĩ hình in nó đẹp hơn nhưng trông nó khá chán, chất vải nilon nên mặc bị nóng, nếu quan tâm chất vải thì các bạn nên cân nhắc. với 155k cho cái áo này thì mình thấy không xứng lắm. mình m60, mặc size l thoải mái.	Material	2	negative
20#51#0	giao hành hơi chậm, hành chất lượng vải đẹp nên mua	Material	0	positive
7#14#0	áo đẹp.dày dặn.mua cũng nhiều lần rồi. màu xanh pastel này ở ngoài đậm đẹp hơn, chụp vào màu bị nhạt k đẹp bằng ở ngoài	Material	0	positive
23#67#0	giao hàng hơi lâu xíu, mà chất vải thì khá là ổn áp, mặc khá mát,..	Material	0	positive
0#17#0	áo rất đẹp và mát giá xả hợp lý nên mua về dùng thử và giới thiệu b	Material	0	positive
12#24#0	màu sắc:đen vải hơi mỏng	Material	1	neutral
84#90#0	phom áo hơi rộng mình m64 nặng 59 kg mặc hơi rộng nhé nhưng mình thích vì thoải mái mát mẻ	Material	0	positive
0#12#0	chất liệu:ok màu sắc:ok đúng với mô tả:ok mua lại áo lần 2. colmate không làm mình thất vọng, form áo đẹp, mặc đi làm đi chơi rất ổn. đúng chuẩn nhé ae.	Material	0	positive
25#37#0	màu sắc:đúng màu mk chọn vải khá mỏng, chỉ may khá thô ko đc chắc chắn cho lắm nhg cx ổn nha	Material	2	negative
46#57#0	chất liệu:vải màu sắc:đen so với giá tiền thì áo hơi mỏng. nên cân nhắc trước khi mua	Material	2	negative
14#27#0	Màu khá xinh, chất cũng đẹp, mát mẻ nên mua nhé mn. Tôi săn sale nên khá ưng	Material	0	positive
15#32#0	kh giống mô tả vải nóng thì thôi nhé lun	Material	2	negative
7#16#0	to quá vải như c	Material	2	negative
83#95#0	chất liệu:vải màu sắc:đen đúng với mô tả:đúng hình ảnh chỉ mang tính chất nhận xu. vải hơi mỏng, nhưng form đẹp. sẽ ủng hộ nưa	Material	2	negative
34#120#0	Màu sắc:trắng Đúng với mô tả:đúng Chất liệu:vải áo đẹp nha trời mà làm bín chụp qa nên coi áo nì đỡ i nà vải mịn nha 10đ	Material	0	positive
68#90#0	màu sắc:oke đúng với mô tả:nhìn hơi khác một xíu nhưng mà không sao chất liệu:vải hơi mỏng	Material	1	neutral
14#31#0	thất vọng vcl vải mỏng dễ bị lộ , shop đóng hàng ko cẩn thận bị rách 1 lỗ khá to chê nha	Material	2	negative
39#58#0	đúng với mô tả:không giống màu sắc:xấu chất liệu:không đẹp hình ảnh mang tính chất nhận xu	Material	2	negative
31#47#0	Áo đẹp nhưng hình in không đẹp,vải cũng dày dặn mình đặt 2 cái nhưng ưng ý 1 cái thôi	Material	1	neutral
12#16#0	hơi rộng vs mỏng	Material	2	negative
44#69#0	màu sắc:nâu đúng với mô tả:đúng đẹp lắm nhe vãi hơi mỏng thui mà ksao=)) tiền ít dãy đc rùi	Material	1	neutral
88#128#0	chất liệu:cotton đúng với mô tả:đúng màu sắc:bạc hà giao hàng nhanh, đóng gói cẩn thận. chất liệu mặc mát. nên mua nha mọi người	Material	0	positive
0#12#0	vải mang mát, mang rất thoải mái shop luôn đóng gói kĩ càng chu đáo	Material	0	positive
72#85#0	Màu sắc:hồng Đúng với mô tả:đúng với mô tả Giao nhanh đóng gói cẩn thận chất liệu oke và giá rất oke	Material	0	positive
76#88#0	chất liệu:cotton su đúng với mô tả:khá đúng màu sắc:đen áo in hình khá đẹp, vải hơi mỏng nhưng với giá này thì cũng không yêu cầu nhiều.	Material	2	negative
0#10#0	áo vải đẹp, shop phục vụ tốt và tư vấn nhiệt tình. sẽ ủng hộ shop những đơn hàng sau. cám ơn shop!	Material	0	positive
0#14#0	chất liệu:mỏng đặt 2 cái mà giao 1 cái nên hơi bỡ ngỡ	Material	1	neutral
0#18#0	chất liệu:vải mỏng màu sắc:đen cần tư vấn chuẩn dáng nhé mấy bạn thik sự ngầu lòi thì trừ áo hoa tulip ra nhé	Material	2	negative
0#16#0	chất vải quá đẹp.. hàng lỗi shop hỗ trợ tốt.. nên mua. sẽ ủng hộ shop dài dài.	Material	0	positive
70#84#0	chất lượng tuyệt vời giao hàng nhanh shiper nhiệt tình lần sau sẽ mua vải rất ok đep giá rẻ nên mua nha mn ơi	Material	0	positive
58#75#0	lần đầu tiên mua hàng của shop mà ưng quá đi mất. giá rẻ, chất vải mịn, dày, form đẹp. em mua cho bạn trai em, anh ấy rất thích. lần sau em sẽ ủng hộ shop nữa. cảm ơn shop nhiều lắm	Material	0	positive
0#28#0	áo chất lượng vải thoáng mát, màu giống hình. đóng gói đẹp, chu đáo. đặt hôm trước, hôm sau đã có hàng. dịch vụ shop hay.	Material	0	positive
21#31#0	áo vải mềm, màu đẹp, thoáng mát from đẹp ship nhanh shop hay bị hết size	Material	0	positive
